current_ratio,debt_to_equity,net_profit_margin,company_age,target
0.945893595,3.008011807,0.037480255,5.0,0
1.033559023,2.156783103,0.044062017,5.0,0
0.963703439,3.09457523,0.03270934,5.0,0
1.019850723,2.630949534,0.020893603,5.0,0
0.957843905,3.012780222,0.04286128,5.0,0
1.741958239,0.767608983,0.11193907,5.0,0
1.939001848,0.700068408,0.148720894,5.0,0
1.905814036,0.908483709,0.058407329,5.0,0
1.492419434,1.601190817,0.100473691,5.0,0
1.091557346,1.697369141,0.123584148,5.0,0
1.502132268,1.574106587,0.105170446,5.0,0
1.529885086,1.50023022,0.020025771,5.0,0
1.655630865,1.439216189,0.022346306,5.0,0
1.222848383,2.419869762,0.014107691,5.0,0
1.777323672,1.581615525,0.026464374,5.0,0
1.027167555,-3.563877982,0.092993993,5.0,0
0.987460448,-5.914756631,0.107161154,5.0,0
0.974964739,-11.83716916,0.113705374,5.0,0
1.024616199,-3.78620635,0.093538561,5.0,0
1.004393673,153.9694323,0.112527179,5.0,0
0.859074084,2.368793429,0.046992382,5.0,0
0.747775541,1.555308752,0.031123001,5.0,0
0.758640462,2.25373459,0.076947969,5.0,0
0.714317174,1.937752845,0.057002056,5.0,0
1.216566404,1.777135253,0.108342142,5.0,0
1.030446007,1.953125382,0.078704284,5.0,0
0.73,2.0497143,0.120039217,5.0,0
1.009273108,1.786285882,0.090093763,5.0,0
1.244573082,1.745740383,0.117420332,5.0,0
0.69595706,2.235469013,0.094622521,5.0,0
2.013009674,0.548882526,0.140966628,5.0,0
1.747702172,0.582322772,0.130482379,5.0,0
1.270047323,1.035525088,0.163273047,5.0,0
1.503431185,0.771655217,0.135002554,5.0,0
1.692499769,1.200550354,0.037961466,5.0,1
1.741295875,1.475628333,0.041197559,5.0,1
0.980445633,1.075905695,0.041197559,5.0,1
1.631063598,1.480957927,0.038085658,5.0,1
1.29034049,2.500486052,0.066515311,5.0,0
0.544654824,2.488520579,0.059499636,5.0,0
1.139366691,2.228863723,0.074493203,5.0,0
0.746939917,2.413097311,0.056751883,5.0,0
0.856647649,2.426812672,0.069163047,5.0,0
1.04322814,2.362230997,0.056143691,5.0,0
0.937713857,3.057552606,0.120361236,5.0,0
5.715491624,77.09317157,-0.351744488,5.0,1
4.499820444,11.15515248,-0.268630392,5.0,1
2.625528146,-5.833286987,-1.087912383,5.0,1
4.006149968,9.587221915,-2.116675494,5.0,1
0.920117457,0.34214323,33.81034483,5.0,0
1.036554397,0.395485511,12.02916667,5.0,0
0.81461794,1.609652671,0.10774371,5.0,0
0.542663335,3.201513566,0.038466658,5.0,1
0.508969491,2.972896313,0.026278742,5.0,1
0.696996943,3.200161031,0.01986843,5.0,1
0.691040165,2.563704819,0.05443474,5.0,0
0.495463511,2.852491593,0.050316931,5.0,0
1.45260182,-14.25980681,0.036633213,5.0,1
2.698846929,-7.361441807,0.035721764,5.0,1
